Date,Tournament,Category,Round,Prize,Result
16/03/2014,World Open,RN,Quarter Final,"œ12,500",loss
02/03/2014,Welsh Open,R,Quarter Final,"œ10,000",loss
09/02/2014,Gdynia Open,PTC,Last 16,"? 2,300",winner 
02/02/2014,German Masters,R,Last 32,"? 3,000",loss
26/01/2014,Shoot Out,U,Last 64,œ500,loss
19/01/2014,Masters,U,Quarter Final,"œ25,000",winner 
08/12/2013,UK Championship,UK,Last 16,"œ12,000",winner 
24/11/2013,Champion of Champions,U,Last 16,"œ5,000",loss
17/11/2013,Antwerp Open,PTC,Last 64,? 700,loss
10/11/2013,Kay Suzanne Memorial Cup,PTC,Last 128,œ0,loss
03/11/2013,International Championship,UK,Last 32,"œ7,000",winner 
24/10/2013,Zhengzhou Open,PTC,Last 32,œ600,winner 
18/10/2013,Indian Open,R,Last 16,"œ6,000",winner 
22/09/2013,Shanghai Masters,RN,Last 16,"œ7,500",loss
07/09/2013,Six Red World Championship,U,Last 16,"THB 100,000",loss
25/08/2013,Paul Hunter Classic,PTC,Last 128,? 0,loss
17/08/2013,Doncaster European Tour,PTC,Last 32,"œ1,100",winner 
21/07/2013,Rotterdam Open,PTC,Last 16,"? 2,300",winner 
23/06/2013,Wuxi Classic,RN,Final,"œ35,000",winner 
15/06/2013,Yixing Open,PTC,Last 32,œ600,loss
09/06/2013,Bulgarian Open,PTC,Winner,"? 25,000",loss
06/05/2013,World Championships,WC,Last 32,"œ12,000",winner 
31/03/2013,China Open,RN,Last 32,"œ6,000",winner 
17/03/2013,Players Tour Championship Finals,PTF,Last 32,"œ2,500",winner 
03/03/2013,World Open,RN,Semi Final,"œ20,000",loss
17/02/2013,Welsh Open,R,Last 32,"œ2,000",loss
03/02/2013,German Masters,R,Last 64,"? 1,500",winner 
27/01/2013,Shoot Out,U,Last 64,œ500,winner 
20/01/2013,Masters,U,Quarter Final,"œ20,000",winner 
16/12/2012,Scottish Open,PTC,Last 128,? 0,loss
09/12/2012,UK Championship,UK,Last 16,"œ11,000",loss
25/11/2012,Premier League,U,Semi Final,Unknown,loss
18/11/2012,Bulgarian Open,PTC,Final,"? 6,000",winner 
14/11/2012,England Players Tour Championship 4,PTC,Winner,"œ10,000",winner 
04/11/2012,International Championship,UK,Last 32,"œ7,000",loss
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
